 <<< Combine >>> 
>>> random number generator seed is 123456
>>> method used is MultiDimFit
>>> 0 out of 12 channels masked

SimNLL created with 12 channels, 0 generic constraints, 361 fast gaussian constraints, 0 fast poisson constraints, 0 fast group constraints, 
 POI: r= -0.00642128 -> [-1,5]
Point 0/100 r = -0.97
Point 1/100 r = -0.91
Point 2/100 r = -0.85
Point 3/100 r = -0.79
Point 4/100 r = -0.73
Point 5/100 r = -0.67
Point 6/100 r = -0.61
Point 7/100 r = -0.55
Point 8/100 r = -0.49
Point 9/100 r = -0.43
Point 10/100 r = -0.37
Point 11/100 r = -0.31
Point 12/100 r = -0.25
Point 13/100 r = -0.19
Point 14/100 r = -0.13
Point 15/100 r = -0.07
Point 16/100 r = -0.01
Point 17/100 r = 0.05
Point 18/100 r = 0.11
Point 19/100 r = 0.17
Point 20/100 r = 0.23
Point 21/100 r = 0.29
Point 22/100 r = 0.35
Point 23/100 r = 0.41
Point 24/100 r = 0.47
Point 25/100 r = 0.53
Point 26/100 r = 0.59
Point 27/100 r = 0.65
Point 28/100 r = 0.71
Point 29/100 r = 0.77
Point 30/100 r = 0.83
Point 31/100 r = 0.89
Point 32/100 r = 0.95
Point 33/100 r = 1.01
Point 34/100 r = 1.07
Point 35/100 r = 1.13
Point 36/100 r = 1.19
Point 37/100 r = 1.25
Point 38/100 r = 1.31
Point 39/100 r = 1.37
Point 40/100 r = 1.43
Point 41/100 r = 1.49
Point 42/100 r = 1.55
Point 43/100 r = 1.61
Point 44/100 r = 1.67
Point 45/100 r = 1.73
Point 46/100 r = 1.79
Point 47/100 r = 1.85
Point 48/100 r = 1.91
Point 49/100 r = 1.97
Point 50/100 r = 2.03
Point 51/100 r = 2.09
Point 52/100 r = 2.15
Point 53/100 r = 2.21
Point 54/100 r = 2.27
Point 55/100 r = 2.33
Point 56/100 r = 2.39
Point 57/100 r = 2.45
Point 58/100 r = 2.51
Point 59/100 r = 2.57
Point 60/100 r = 2.63
Point 61/100 r = 2.69
Point 62/100 r = 2.75
Point 63/100 r = 2.81
Point 64/100 r = 2.87
Point 65/100 r = 2.93
Point 66/100 r = 2.99
Point 67/100 r = 3.05
Point 68/100 r = 3.11
Point 69/100 r = 3.17
Point 70/100 r = 3.23
Point 71/100 r = 3.29
Point 72/100 r = 3.35
Point 73/100 r = 3.41
Point 74/100 r = 3.47
Point 75/100 r = 3.53
Point 76/100 r = 3.59
Point 77/100 r = 3.65
Point 78/100 r = 3.71
Point 79/100 r = 3.77
Point 80/100 r = 3.83
Point 81/100 r = 3.89
Point 82/100 r = 3.95
Point 83/100 r = 4.01
Point 84/100 r = 4.07
Point 85/100 r = 4.13
Point 86/100 r = 4.19
Point 87/100 r = 4.25
Point 88/100 r = 4.31
Point 89/100 r = 4.37
Point 90/100 r = 4.43
Point 91/100 r = 4.49
Point 92/100 r = 4.55
Point 93/100 r = 4.61
Point 94/100 r = 4.67
Point 95/100 r = 4.73
Point 96/100 r = 4.79
Point 97/100 r = 4.85
Point 98/100 r = 4.91
Point 99/100 r = 4.97
Done in 0.12 min (cpu), 0.13 min (real)
